## Created using https://www.youtube.com/watch?v=Y40Wy1guAiQ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"## Summary of mouse longevity data. David Ashbrook 2022, dashbroo@UTHSC.edu. Edited by Wyatt Kaiser 2023 wkaiser1@uthsc.edu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
## Data from replicable mouse populations,Title,Where mice maintained,First Author,Last Author,All authors,Year mice born,Year mice died,Year paper published,Paper type,Reason for looking,Main topic,Strain,Maternal strain,Paternal strain,Cross type,Sex,Age started,Age started (estimated approx. days),Intervention,Method,Diet,Day-night cycle,Lights on/lights off,Temperature,Humidity,Number of mice per cage (newly added) ,Pathogen free?,Individual data available,Individual data imputable from figures,Where data available?,mean,median,SE,SD,N,CV,IMR,MRDT,Minimum lifespan,Maximum lifespan,notes,url,DOI
,Gene-by-environment modulation of lifespan and weight gain in the murine BXD family,UTHSC,Roy,Williams,"Suheeta Roy, Maroun Bou Sleiman, Pooja Jha, Jesse F Ingels, Casey J Chapman, Melinda S McCarty, Jesse D Ziebarth, Michael Hook, Anna Sun, Wenyuan Zhao, Jinsong Huang, Sarah M Neuner, Lynda A Wilmott, Thomas M Shapaker, Arthur G Centeno, David G Ashbrook, Megan K Mulligan, Catherine C Kaczorowski, Liza Makowski, Yan Cui, Robert W Read, Richard A Miller, Khyobeni Mozhui, Evan G Williams, Saunak Sen, Lu Lu, Johan Auwerx, Robert W Williams",2011,,2021,Primary,Genetic interventions,Dietry interventions,BXD40,BXD40,BXD40,Inbred,female,>200 days,200,Control,,Harlan-Teklad 7912,12-hour light/dark,,20–24 °C,,,SPF,Yes,NA,http://www.genenetwork.org/show_trait?trait_id=18441&dataset=BXDPublish,585,577,66.311,239.0877106,13,0.408696941,,,,,"Individual data, and various derived values, available on GeneNetwork",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8478125/,https://doi.org/10.1038/s42255-021-00449-w
,Gene-by-environment modulation of lifespan and weight gain in the murine BXD family,UTHSC,Roy,Williams,"Suheeta Roy, Maroun Bou Sleiman, Pooja Jha, Jesse F Ingels, Casey J Chapman, Melinda S McCarty, Jesse D Ziebarth, Michael Hook, Anna Sun, Wenyuan Zhao, Jinsong Huang, Sarah M Neuner, Lynda A Wilmott, Thomas M Shapaker, Arthur G Centeno, David G Ashbrook, Megan K Mulligan, Catherine C Kaczorowski, Liza Makowski, Yan Cui, Robert W Read, Richard A Miller, Khyobeni Mozhui, Evan G Williams, Saunak Sen, Lu Lu, Johan Auwerx, Robert W Williams",2011,,2021,Primary,Genetic interventions,Dietry interventions,BXD43,BXD43,BXD43,Inbred,female,>200 days,200,Control,,Harlan-Teklad 7912,12-hour light/dark,,20–24 °C,,,SPF,Yes,NA,http://www.genenetwork.org/show_trait?trait_id=18441&dataset=BXDPublish,745,701,44.476,140.6454612,10,0.188785854,,,,,"Individual data, and various derived values, available on GeneNetwork",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8478125/,https://doi.org/10.1038/s42255-021-00449-w
,Gene-by-environment modulation of lifespan and weight gain in the murine BXD family,UTHSC,Roy,Williams,"Suheeta Roy, Maroun Bou Sleiman, Pooja Jha, Jesse F Ingels, Casey J Chapman, Melinda S McCarty, Jesse D Ziebarth, Michael Hook, Anna Sun, Wenyuan Zhao, Jinsong Huang, Sarah M Neuner, Lynda A Wilmott, Thomas M Shapaker, Arthur G Centeno, David G Ashbrook, Megan K Mulligan, Catherine C Kaczorowski, Liza Makowski, Yan Cui, Robert W Read, Richard A Miller, Khyobeni Mozhui, Evan G Williams, Saunak Sen, Lu Lu, Johan Auwerx, Robert W Williams",2011,,2021,Primary,Genetic interventions,Dietry interventions,BXD44,BXD44,BXD44,Inbred,female,>200 days,200,Control,,Harlan-Teklad 7912,12-hour light/dark,,20–24 °C,,,SPF,Yes,NA,http://www.genenetwork.org/show_trait?trait_id=18441&dataset=BXDPublish,565,553,16.737,40.99710982,6,0.072561256,,,,,"Individual data, and various derived values, available on GeneNetwork",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8478125/,https://doi.org/10.1038/s42255-021-00449-w
,Gene-by-environment modulation of lifespan and weight gain in the murine BXD family,UTHSC,Roy,Williams,"Suheeta Roy, Maroun Bou Sleiman, Pooja Jha, Jesse F Ingels, Casey J Chapman, Melinda S McCarty, Jesse D Ziebarth, Michael Hook, Anna Sun, Wenyuan Zhao, Jinsong Huang, Sarah M Neuner, Lynda A Wilmott, Thomas M Shapaker, Arthur G Centeno, David G Ashbrook, Megan K Mulligan, Catherine C Kaczorowski, Liza Makowski, Yan Cui, Robert W Read, Richard A Miller, Khyobeni Mozhui, Evan G Williams, Saunak Sen, Lu Lu, Johan Auwerx, Robert W Williams",2011,,2021,Primary,Genetic interventions,Dietry interventions,BXD45,BXD45,BXD45,Inbred,female,>200 days,200,Control,,Harlan-Teklad 7912,12-hour light/dark,,20–24 °C,,,SPF,Yes,NA,http://www.genenetwork.org/show_trait?trait_id=18441&dataset=BXDPublish,756,758,33.732,82.626188,6,0.109293899,,,,,"Individual data, and various derived values, available on GeneNetwork",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8478125/,https://doi.org/10.1038/s42255-021-00449-w
,Gene-by-environment modulation of lifespan and weight gain in the murine BXD family,UTHSC,Roy,Williams,"Suheeta Roy, Maroun Bou Sleiman, Pooja Jha, Jesse F Ingels, Casey J Chapman, Melinda S McCarty, Jesse D Ziebarth, Michael Hook, Anna Sun, Wenyuan Zhao, Jinsong Huang, Sarah M Neuner, Lynda A Wilmott, Thomas M Shapaker, Arthur G Centeno, David G Ashbrook, Megan K Mulligan, Catherine C Kaczorowski, Liza Makowski, Yan Cui, Robert W Read, Richard A Miller, Khyobeni Mozhui, Evan G Williams, Saunak Sen, Lu Lu, Johan Auwerx, Robert W Williams",2011,,2021,Primary,Genetic interventions,Dietry interventions,BXD48,BXD48,BXD48,Inbred,female,>200 days,200,Control,,Harlan-Teklad 7912,12-hour light/dark,,20–24 °C,,,SPF,Yes,NA,http://www.genenetwork.org/show_trait?trait_id=18441&dataset=BXDPublish,695,684,43.7,123.6022654,8,0.177844986,,,,,"Individual data, and various derived values, available on GeneNetwork",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8478125/,https://doi.org/10.1038/s42255-021-00449-w
,Gene-by-environment modulation of lifespan and weight gain in the murine BXD family,UTHSC,Roy,Williams,"Suheeta Roy, Maroun Bou Sleiman, Pooja Jha, Jesse F Ingels, Casey J Chapman, Melinda S McCarty, Jesse D Ziebarth, Michael Hook, Anna Sun, Wenyuan Zhao, Jinsong Huang, Sarah M Neuner, Lynda A Wilmott, Thomas M Shapaker, Arthur G Centeno, David G Ashbrook, Megan K Mulligan, Catherine C Kaczorowski, Liza Makowski, Yan Cui, Robert W Read, Richard A Miller, Khyobeni Mozhui, Evan G Williams, Saunak Sen, Lu Lu, Johan Auwerx, Robert W Williams",2011,,2021,Primary,Genetic interventions,Dietry interventions,BXD48a,BXD48a,BXD48a,Inbred,female,>200 days,200,Control,,Harlan-Teklad 7912,12-hour light/dark,,20–24 °C,,,SPF,Yes,NA,http://www.genenetwork.org/show_trait?trait_id=18441&dataset=BXDPublish,645,678,40.421,161.684,16,0.250672868,,,,,"Individual data, and various derived values, available on GeneNetwork",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8478125/,https://doi.org/10.1038/s42255-021-00449-w
,Gene-by-environment modulation of lifespan and weight gain in the murine BXD family,UTHSC,Roy,Williams,"Suheeta Roy, Maroun Bou Sleiman, Pooja Jha, Jesse F Ingels, Casey J Chapman, Melinda S McCarty, Jesse D Ziebarth, Michael Hook, Anna Sun, Wenyuan Zhao, Jinsong Huang, Sarah M Neuner, Lynda A Wilmott, Thomas M Shapaker, Arthur G Centeno, David G Ashbrook, Megan K Mulligan, Catherine C Kaczorowski, Liza Makowski, Yan Cui, Robert W Read, Richard A Miller, Khyobeni Mozhui, Evan G Williams, Saunak Sen, Lu Lu, Johan Auwerx, Robert W Williams",2011,,2021,Primary,Genetic interventions,Dietry interventions,BXD51,BXD51,BXD51,Inbred,female,>200 days,200,Control,,Harlan-Teklad 7912,12-hour light/dark,,20–24 °C,,,SPF,Yes,NA,http://www.genenetwork.org/show_trait?trait_id=18441&dataset=BXDPublish,862,865,31.426,88.88615082,8,0.103116184,,,,,"Individual data, and various derived values, available on GeneNetwork",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8478125/,https://doi.org/10.1038/s42255-021-00449-w
,Gene-by-environment modulation of lifespan and weight gain in the murine BXD family,UTHSC,Roy,Williams,"Suheeta Roy, Maroun Bou Sleiman, Pooja Jha, Jesse F Ingels, Casey J Chapman, Melinda S McCarty, Jesse D Ziebarth, Michael Hook, Anna Sun, Wenyuan Zhao, Jinsong Huang, Sarah M Neuner, Lynda A Wilmott, Thomas M Shapaker, Arthur G Centeno, David G Ashbrook, Megan K Mulligan, Catherine C Kaczorowski, Liza Makowski, Yan Cui, Robert W Read, Richard A Miller, Khyobeni Mozhui, Evan G Williams, Saunak Sen, Lu Lu, Johan Auwerx, Robert W Williams",2011,,2021,Primary,Genetic interventions,Dietry interventions,BXD53,BXD53,BXD53,Inbred,female,>200 days,200,Control,,Harlan-Teklad 7912,12-hour light/dark,,20–24 °C,,,SPF,Yes,NA,http://www.genenetwork.org/show_trait?trait_id=18441&dataset=BXDPublish,763,850,53.25,150.6137444,8,0.197396782,,,,,"Individual data, and various derived values, available on GeneNetwork",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8478125/,https://doi.org/10.1038/s42255-021-00449-w
,Gene-by-environment modulation of lifespan and weight gain in the murine BXD family,UTHSC,Roy,Williams,"Suheeta Roy, Maroun Bou Sleiman, Pooja Jha, Jesse F Ingels, Casey J Chapman, Melinda S McCarty, Jesse D Ziebarth, Michael Hook, Anna Sun, Wenyuan Zhao, Jinsong Huang, Sarah M Neuner, Lynda A Wilmott, Thomas M Shapaker, Arthur G Centeno, David G Ashbrook, Megan K Mulligan, Catherine C Kaczorowski, Liza Makowski, Yan Cui, Robert W Read, Richard A Miller, Khyobeni Mozhui, Evan G Williams, Saunak Sen, Lu Lu, Johan Auwerx, Robert W Williams",2011,,2021,Primary,Genetic interventions,Dietry interventions,BXD56,BXD56,BXD56,Inbred,female,>200 days,200,Control,,Harlan-Teklad 7912,12-hour light/dark,,20–24 °C,,,SPF,Yes,NA,http://www.genenetwork.org/show_trait?trait_id=18441&dataset=BXDPublish,645,694,71.982,203.5958413,8,0.315652467,,,,,"Individual data, and various derived values, available on GeneNetwork",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8478125/,https://doi.org/10.1038/s42255-021-00449-w
,Gene-by-environment modulation of lifespan and weight gain in the murine BXD family,UTHSC,Roy,Williams,"Suheeta Roy, Maroun Bou Sleiman, Pooja Jha, Jesse F Ingels, Casey J Chapman, Melinda S McCarty, Jesse D Ziebarth, Michael Hook, Anna Sun, Wenyuan Zhao, Jinsong Huang, Sarah M Neuner, Lynda A Wilmott, Thomas M Shapaker, Arthur G Centeno, David G Ashbrook, Megan K Mulligan, Catherine C Kaczorowski, Liza Makowski, Yan Cui, Robert W Read, Richard A Miller, Khyobeni Mozhui, Evan G Williams, Saunak Sen, Lu Lu, Johan Auwerx, Robert W Williams",2011,,2021,Primary,Genetic interventions,Dietry interventions,BXD60,BXD60,BXD60,Inbred,female,>200 days,200,Control,,Harlan-Teklad 7912,12-hour light/dark,,20–24 °C,,,SPF,Yes,NA,http://www.genenetwork.org/show_trait?trait_id=18441&dataset=BXDPublish,651,697,51.651,206.604,16,0.317364055,,,,,"Individual data, and various derived values, available on GeneNetwork",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8478125/,https://doi.org/10.1038/s42255-021-00449-w
,Gene-by-environment modulation of lifespan and weight gain in the murine BXD family,UTHSC,Roy,Williams,"Suheeta Roy, Maroun Bou Sleiman, Pooja Jha, Jesse F Ingels, Casey J Chapman, Melinda S McCarty, Jesse D Ziebarth, Michael Hook, Anna Sun, Wenyuan Zhao, Jinsong Huang, Sarah M Neuner, Lynda A Wilmott, Thomas M Shapaker, Arthur G Centeno, David G Ashbrook, Megan K Mulligan, Catherine C Kaczorowski, Liza Makowski, Yan Cui, Robert W Read, Richard A Miller, Khyobeni Mozhui, Evan G Williams, Saunak Sen, Lu Lu, Johan Auwerx, Robert W Williams",2011,,2021,Primary,Genetic interventions,Dietry interventions,BXD61,BXD61,BXD61,Inbred,female,>200 days,200,Control,,Harlan-Teklad 7912,12-hour light/dark,,20–24 °C,,,SPF,Yes,NA,http://www.genenetwork.org/show_trait?trait_id=18441&dataset=BXDPublish,756,772,36.74,127.2710933,12,0.168348007,,,,,"Individual data, and various derived values, available on GeneNetwork",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8478125/,https://doi.org/10.1038/s42255-021-00449-w
,Gene-by-environment modulation of lifespan and weight gain in the murine BXD family,UTHSC,Roy,Williams,"Suheeta Roy, Maroun Bou Sleiman, Pooja Jha, Jesse F Ingels, Casey J Chapman, Melinda S McCarty, Jesse D Ziebarth, Michael Hook, Anna Sun, Wenyuan Zhao, Jinsong Huang, Sarah M Neuner, Lynda A Wilmott, Thomas M Shapaker, Arthur G Centeno, David G Ashbrook, Megan K Mulligan, Catherine C Kaczorowski, Liza Makowski, Yan Cui, Robert W Read, Richard A Miller, Khyobeni Mozhui, Evan G Williams, Saunak Sen, Lu Lu, Johan Auwerx, Robert W Williams",2011,,2021,Primary,Genetic interventions,Dietry interventions,BXD62,BXD62,BXD62,Inbred,female,>200 days,200,Control,,Harlan-Teklad 7912,12-hour light/dark,,20–24 °C,,,SPF,Yes,NA,http://www.genenetwork.org/show_trait?trait_id=18441&dataset=BXDPublish,734,729,36.872,116.5995019,10,0.158854907,,,,,"Individual data, and various derived values, available on GeneNetwork",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8478125/,https://doi.org/10.1038/s42255-021-00449-w
,Gene-by-environment modulation of lifespan and weight gain in the murine BXD family,UTHSC,Roy,Williams,"Suheeta Roy, Maroun Bou Sleiman, Pooja Jha, Jesse F Ingels, Casey J Chapman, Melinda S McCarty, Jesse D Ziebarth, Michael Hook, Anna Sun, Wenyuan Zhao, Jinsong Huang, Sarah M Neuner, Lynda A Wilmott, Thomas M Shapaker, Arthur G Centeno, David G Ashbrook, Megan K Mulligan, Catherine C Kaczorowski, Liza Makowski, Yan Cui, Robert W Read, Richard A Miller, Khyobeni Mozhui, Evan G Williams, Saunak Sen, Lu Lu, Johan Auwerx, Robert W Williams",2011,,2021,Primary,Genetic interventions,Dietry interventions,BXD63,BXD63,BXD63,Inbred,female,>200 days,200,Control,,Harlan-Teklad 7912,12-hour light/dark,,20–24 °C,,,SPF,Yes,NA,http://www.genenetwork.org/show_trait?trait_id=18441&dataset=BXDPublish,708,707,80.884,228.7744996,8,0.323127824,,,,,"Individual data, and various derived values, available on GeneNetwork",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8478125/,https://doi.org/10.1038/s42255-021-00449-w
,Gene-by-environment modulation of lifespan and weight gain in the murine BXD family,UTHSC,Roy,Williams,"Suheeta Roy, Maroun Bou Sleiman, Pooja Jha, Jesse F Ingels, Casey J Chapman, Melinda S McCarty, Jesse D Ziebarth, Michael Hook, Anna Sun, Wenyuan Zhao, Jinsong Huang, Sarah M Neuner, Lynda A Wilmott, Thomas M Shapaker, Arthur G Centeno, David G Ashbrook, Megan K Mulligan, Catherine C Kaczorowski, Liza Makowski, Yan Cui, Robert W Read, Richard A Miller, Khyobeni Mozhui, Evan G Williams, Saunak Sen, Lu Lu, Johan Auwerx, Robert W Williams",2011,,2021,Primary,Genetic interventions,Dietry interventions,BXD65,BXD65,BXD65,Inbred,female,>200 days,200,Control,,Harlan-Teklad 7912,12-hour light/dark,,20–24 °C,,,SPF,Yes,NA,http://www.genenetwork.org/show_trait?trait_id=18441&dataset=BXDPublish,866,896,24.399,77.15641263,10,0.089095165,,,,,"Individual data, and various derived values, available on GeneNetwork",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8478125/,https://doi.org/10.1038/s42255-021-00449-w
,Gene-by-environment modulation of lifespan and weight gain in the murine BXD family,UTHSC,Roy,Williams,"Suheeta Roy, Maroun Bou Sleiman, Pooja Jha, Jesse F Ingels, Casey J Chapman, Melinda S McCarty, Jesse D Ziebarth, Michael Hook, Anna Sun, Wenyuan Zhao, Jinsong Huang, Sarah M Neuner, Lynda A Wilmott, Thomas M Shapaker, Arthur G Centeno, David G Ashbrook, Megan K Mulligan, Catherine C Kaczorowski, Liza Makowski, Yan Cui, Robert W Read, Richard A Miller, Khyobeni Mozhui, Evan G Williams, Saunak Sen, Lu Lu, Johan Auwerx, Robert W Williams",2011,,2021,Primary,Genetic interventions,Dietry interventions,BXD65b,BXD65b,BXD65b,Inbred,female,>200 days,200,Control,,Harlan-Teklad 7912,12-hour light/dark,,20–24 °C,,,SPF,Yes,NA,http://www.genenetwork.org/show_trait?trait_id=18441&dataset=BXDPublish,726,751,26.279,91.03312634,12,0.125389981,,,,,"Individual data, and various derived values, available on GeneNetwork",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8478125/,https://doi.org/10.1038/s42255-021-00449-w
,Gene-by-environment modulation of lifespan and weight gain in the murine BXD family,UTHSC,Roy,Williams,"Suheeta Roy, Maroun Bou Sleiman, Pooja Jha, Jesse F Ingels, Casey J Chapman, Melinda S McCarty, Jesse D Ziebarth, Michael Hook, Anna Sun, Wenyuan Zhao, Jinsong Huang, Sarah M Neuner, Lynda A Wilmott, Thomas M Shapaker, Arthur G Centeno, David G Ashbrook, Megan K Mulligan, Catherine C Kaczorowski, Liza Makowski, Yan Cui, Robert W Read, Richard A Miller, Khyobeni Mozhui, Evan G Williams, Saunak Sen, Lu Lu, Johan Auwerx, Robert W Williams",2011,,2021,Primary,Genetic interventions,Dietry interventions,BXD66,BXD66,BXD66,Inbred,female,>200 days,200,Control,,Harlan-Teklad 7912,12-hour light/dark,,20–24 °C,,,SPF,Yes,NA,http://www.genenetwork.org/show_trait?trait_id=18441&dataset=BXDPublish,516,576,63.285,189.855,9,0.367936047,,,,,"Individual data, and various derived values, available on GeneNetwork",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8478125/,https://doi.org/10.1038/s42255-021-00449-w
,Gene-by-environment modulation of lifespan and weight gain in the murine BXD family,UTHSC,Roy,Williams,"Suheeta Roy, Maroun Bou Sleiman, Pooja Jha, Jesse F Ingels, Casey J Chapman, Melinda S McCarty, Jesse D Ziebarth, Michael Hook, Anna Sun, Wenyuan Zhao, Jinsong Huang, Sarah M Neuner, Lynda A Wilmott, Thomas M Shapaker, Arthur G Centeno, David G Ashbrook, Megan K Mulligan, Catherine C Kaczorowski, Liza Makowski, Yan Cui, Robert W Read, Richard A Miller, Khyobeni Mozhui, Evan G Williams, Saunak Sen, Lu Lu, Johan Auwerx, Robert W Williams",2011,,2021,Primary,Genetic interventions,Dietry interventions,BXD68,BXD68,BXD68,Inbred,female,>200 days,200,Control,,Harlan-Teklad 7912,12-hour light/dark,,20–24 °C,,,SPF,Yes,NA,http://www.genenetwork.org/show_trait?trait_id=18441&dataset=BXDPublish,622,585,113.008,226.016,4,0.363369775,,,,,"Individual data, and various derived values, available on GeneNetwork",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8478125/,https://doi.org/10.1038/s42255-021-00449-w
,Gene-by-environment modulation of lifespan and weight gain in the murine BXD family,UTHSC,Roy,Williams,"Suheeta Roy, Maroun Bou Sleiman, Pooja Jha, Jesse F Ingels, Casey J Chapman, Melinda S McCarty, Jesse D Ziebarth, Michael Hook, Anna Sun, Wenyuan Zhao, Jinsong Huang, Sarah M Neuner, Lynda A Wilmott, Thomas M Shapaker, Arthur G Centeno, David G Ashbrook, Megan K Mulligan, Catherine C Kaczorowski, Liza Makowski, Yan Cui, Robert W Read, Richard A Miller, Khyobeni Mozhui, Evan G Williams, Saunak Sen, Lu Lu, Johan Auwerx, Robert W Williams",2011,,2021,Primary,Genetic interventions,Dietry interventions,BXD69,BXD69,BXD69,Inbred,female,>200 days,200,Control,,Harlan-Teklad 7912,12-hour light/dark,,20–24 °C,,,SPF,Yes,NA,http://www.genenetwork.org/show_trait?trait_id=18441&dataset=BXDPublish,615,666,56.747,212.3278317,14,0.345248507,,,,,"Individual data, and various derived values, available on GeneNetwork",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8478125/,https://doi.org/10.1038/s42255-021-00449-w
,Gene-by-environment modulation of lifespan and weight gain in the murine BXD family,UTHSC,Roy,Williams,"Suheeta Roy, Maroun Bou Sleiman, Pooja Jha, Jesse F Ingels, Casey J Chapman, Melinda S McCarty, Jesse D Ziebarth, Michael Hook, Anna Sun, Wenyuan Zhao, Jinsong Huang, Sarah M Neuner, Lynda A Wilmott, Thomas M Shapaker, Arthur G Centeno, David G Ashbrook, Megan K Mulligan, Catherine C Kaczorowski, Liza Makowski, Yan Cui, Robert W Read, Richard A Miller, Khyobeni Mozhui, Evan G Williams, Saunak Sen, Lu Lu, Johan Auwerx, Robert W Williams",2011,,2021,Primary,Genetic interventions,Dietry interventions,BXD70,BXD70,BXD70,Inbred,female,>200 days,200,Control,,Harlan-Teklad 7912,12-hour light/dark,,20–24 °C,,,SPF,Yes,NA,http://www.genenetwork.org/show_trait?trait_id=18441&dataset=BXDPublish,721,721,35.801,151.8907792,18,0.210666823,,,,,"Individual data, and various derived values, available on GeneNetwork",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8478125/,https://doi.org/10.1038/s42255-021-00449-w
,Gene-by-environment modulation of lifespan and weight gain in the murine BXD family,UTHSC,Roy,Williams,"Suheeta Roy, Maroun Bou Sleiman, Pooja Jha, Jesse F Ingels, Casey J Chapman, Melinda S McCarty, Jesse D Ziebarth, Michael Hook, Anna Sun, Wenyuan Zhao, Jinsong Huang, Sarah M Neuner, Lynda A Wilmott, Thomas M Shapaker, Arthur G Centeno, David G Ashbrook, Megan K Mulligan, Catherine C Kaczorowski, Liza Makowski, Yan Cui, Robert W Read, Richard A Miller, Khyobeni Mozhui, Evan G Williams, Saunak Sen, Lu Lu, Johan Auwerx, Robert W Williams",2011,,2021,Primary,Genetic interventions,Dietry interventions,BXD71,BXD71,BXD71,Inbred,female,>200 days,200,Control,,Harlan-Teklad 7912,12-hour light/dark,,20–24 °C,,,SPF,Yes,NA,http://www.genenetwork.org/show_trait?trait_id=18441&dataset=BXDPublish,874,897,23.333,40.41394149,3,0.046240208,,,,,"Individual data, and various derived values, available on GeneNetwork",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8478125/,https://doi.org/10.1038/s42255-021-00449-w
,Gene-by-environment modulation of lifespan and weight gain in the murine BXD family,UTHSC,Roy,Williams,"Suheeta Roy, Maroun Bou Sleiman, Pooja Jha, Jesse F Ingels, Casey J Chapman, Melinda S McCarty, Jesse D Ziebarth, Michael Hook, Anna Sun, Wenyuan Zhao, Jinsong Huang, Sarah M Neuner, Lynda A Wilmott, Thomas M Shapaker, Arthur G Centeno, David G Ashbrook, Megan K Mulligan, Catherine C Kaczorowski, Liza Makowski, Yan Cui, Robert W Read, Richard A Miller, Khyobeni Mozhui, Evan G Williams, Saunak Sen, Lu Lu, Johan Auwerx, Robert W Williams",2011,,2021,Primary,Genetic interventions,Dietry interventions,BXD73,BXD73,BXD73,Inbred,female,>200 days,200,Control,,Harlan-Teklad 7912,12-hour light/dark,,20–24 °C,,,SPF,Yes,NA,http://www.genenetwork.org/show_trait?trait_id=18441&dataset=BXDPublish,702,687,38.677,116.031,9,0.165286325,,,,,"Individual data, and various derived values, available on GeneNetwork",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8478125/,https://doi.org/10.1038/s42255-021-00449-w
,Gene-by-environment modulation of lifespan and weight gain in the murine BXD family,UTHSC,Roy,Williams,"Suheeta Roy, Maroun Bou Sleiman, Pooja Jha, Jesse F Ingels, Casey J Chapman, Melinda S McCarty, Jesse D Ziebarth, Michael Hook, Anna Sun, Wenyuan Zhao, Jinsong Huang, Sarah M Neuner, Lynda A Wilmott, Thomas M Shapaker, Arthur G Centeno, David G Ashbrook, Megan K Mulligan, Catherine C Kaczorowski, Liza Makowski, Yan Cui, Robert W Read, Richard A Miller, Khyobeni Mozhui, Evan G Williams, Saunak Sen, Lu Lu, Johan Auwerx, Robert W Williams",2011,,2021,Primary,Genetic interventions,Dietry interventions,BXD73b,BXD73b,BXD73b,Inbred,female,>200 days,200,Control,,Harlan-Teklad 7912,12-hour light/dark,,20–24 °C,,,SPF,Yes,NA,http://www.genenetwork.org/show_trait?trait_id=18441&dataset=BXDPublish,806,785,34.072,136.288,16,0.169091811,,,,,"Individual data, and various derived values, available on GeneNetwork",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8478125/,https://doi.org/10.1038/s42255-021-00449-w
,Gene-by-environment modulation of lifespan and weight gain in the murine BXD family,UTHSC,Roy,Williams,"Suheeta Roy, Maroun Bou Sleiman, Pooja Jha, Jesse F Ingels, Casey J Chapman, Melinda S McCarty, Jesse D Ziebarth, Michael Hook, Anna Sun, Wenyuan Zhao, Jinsong Huang, Sarah M Neuner, Lynda A Wilmott, Thomas M Shapaker, Arthur G Centeno, David G Ashbrook, Megan K Mulligan, Catherine C Kaczorowski, Liza Makowski, Yan Cui, Robert W Read, Richard A Miller, Khyobeni Mozhui, Evan G Williams, Saunak Sen, Lu Lu, Johan Auwerx, Robert W Williams",2011,,2021,Primary,Genetic interventions,Dietry interventions,BXD75,BXD75,BXD75,Inbred,female,>200 days,200,Control,,Harlan-Teklad 7912,12-hour light/dark,,20–24 °C,,,SPF,Yes,NA,http://www.genenetwork.org/show_trait?trait_id=18441&dataset=BXDPublish,779,809,41.556,124.668,9,0.160035944,,,,,"Individual data, and various derived values, available on GeneNetwork",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8478125/,https://doi.org/10.1038/s42255-021-00449-w
,Gene-by-environment modulation of lifespan and weight gain in the murine BXD family,UTHSC,Roy,Williams,"Suheeta Roy, Maroun Bou Sleiman, Pooja Jha, Jesse F Ingels, Casey J Chapman, Melinda S McCarty, Jesse D Ziebarth, Michael Hook, Anna Sun, Wenyuan Zhao, Jinsong Huang, Sarah M Neuner, Lynda A Wilmott, Thomas M Shapaker, Arthur G Centeno, David G Ashbrook, Megan K Mulligan, Catherine C Kaczorowski, Liza Makowski, Yan Cui, Robert W Read, Richard A Miller, Khyobeni Mozhui, Evan G Williams, Saunak Sen, Lu Lu, Johan Auwerx, Robert W Williams",2011,,2021,Primary,Genetic interventions,Dietry interventions,BXD77,BXD77,BXD77,Inbred,female,>200 days,200,Control,,Harlan-Teklad 7912,12-hour light/dark,,20–24 °C,,,SPF,Yes,NA,http://www.genenetwork.org/show_trait?trait_id=18441&dataset=BXDPublish,793,807,50.861,183.3819434,13,0.231250874,,,,,"Individual data, and various derived values, available on GeneNetwork",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8478125/,https://doi.org/10.1038/s42255-021-00449-w
